Nome do Repositório,Descrição,URL,Criado em,Idade do Repositório (dias),Última Atualização,Tempo desde última atualização (dias),Linguagem Principal,Total PRs Mesclados,Total de Releases,Total de Issues,Total de Issues Fechadas
shardeum,Shardeum is an EVM based autoscaling blockchain,https://github.com/shardeum/shardeum,16-04-2024,320,01-03-2025,1,TypeScript,190,0,36,23
certbot,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.,https://github.com/certbot/certbot,12-11-2014,3763,28-02-2025,2,Python,3885,57,5378,5242
openpose,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",https://github.com/CMU-Perceptual-Computing-Lab/openpose,24-04-2017,2869,03-08-2024,211,C++,174,15,1986,1663
run,润学全球官方指定GITHUB，整理润学宗旨、纲领、理论和各类润之实例；解决为什么润，润去哪里，怎么润三大问题； 并成为新中国人的核心宗教，核心信念。,https://github.com/The-Run-Philosophy-Organization/run,10-04-2022,1057,31-07-2024,214,N/A,172,0,255,214
beego,"beego is an open-source, high-performance web framework for the Go programming language.",https://github.com/beego/beego,29-02-2012,4750,28-02-2025,2,Go,1310,39,3356,3351
chatgpt-web,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,https://github.com/Chanzhaoyu/chatgpt-web,09-02-2023,752,16-08-2024,198,Vue,159,43,1747,1747
vault,"A tool for secrets management, encryption as a service, and privileged access management",https://github.com/hashicorp/vault,25-02-2015,3658,01-03-2025,1,Go,19975,157,6257,5182
my-tv,我的电视 电视直播软件，安装即可使用,https://github.com/lizongying/my-tv,04-12-2023,454,20-06-2024,255,C,11,72,912,774
mattermost,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,https://github.com/mattermost/mattermost,15-06-2015,3548,02-03-2025,0,TypeScript,18074,718,8883,8227
swc,Rust-based platform for the Web,https://github.com/swc-project/swc,22-12-2017,2627,02-03-2025,0,Rust,5093,633,3748,3361
selenium,A browser automation framework and ecosystem.,https://github.com/SeleniumHQ/selenium,14-01-2013,4430,02-03-2025,0,Java,2580,102,10665,10520
modern-unix,A collection of modern/faster/saner alternatives to common unix commands.,https://github.com/ibraheemdev/modern-unix,12-01-2021,1510,10-09-2024,173,N/A,15,0,81,30
android-open-project,"A categorized collection of Android Open Source Projects,  More powerful web version:",https://github.com/Trinea/android-open-project,05-01-2014,4074,08-07-2024,237,N/A,204,0,85,74
AnotherRedisDesktopManager,"🚀🚀🚀A faster, better and more stable Redis desktop manager [GUI client], compatible with Linux, Windows, Mac.",https://github.com/qishibo/AnotherRedisDesktopManager,08-01-2019,2245,25-02-2025,5,JavaScript,149,53,1039,917
RevokeMsgPatcher,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）,https://github.com/huiyadanli/RevokeMsgPatcher,21-07-2019,2051,07-11-2024,115,C#,10,20,763,691
ControlNet,Let us control diffusion models!,https://github.com/lllyasviel/ControlNet,01-02-2023,760,25-02-2024,371,Python,5,0,564,138
bruno,Opensource IDE For Exploring and Testing Api's (lightweight alternative to postman/insomnia),https://github.com/usebruno/bruno,27-09-2022,887,28-02-2025,2,JavaScript,930,124,2417,1300
jax,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",https://github.com/jax-ml/jax,25-10-2018,2320,02-03-2025,0,Python,12214,119,6001,4491
awesome-docker,:whale: A curated list of Docker resources and projects,https://github.com/veggiemonk/awesome-docker,21-09-2014,3815,25-01-2025,36,N/A,929,1,129,127
graphql-engine,"Blazing fast, instant realtime GraphQL APIs on all your data with fine grained access control, also trigger webhooks on database events.",https://github.com/hasura/graphql-engine,18-06-2018,2449,28-02-2025,2,TypeScript,2110,281,6339,4085
awesome-php,"A curated list of amazingly awesome PHP libraries, resources and shiny things.",https://github.com/ziadoz/awesome-php,26-11-2013,4114,25-02-2025,5,N/A,445,0,152,151
detectron2,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",https://github.com/facebookresearch/detectron2,05-09-2019,2005,14-01-2025,47,Python,0,10,3541,3083
nps,"一款轻量级、高性能、功能强大的内网穿透代理服务器。支持tcp、udp、socks5、http等几乎所有流量转发，可用来访问内网网站、本地支付接口调试、ssh访问、远程桌面，内网dns解析、内网socks5代理等等……，并带有功能强大的web管理端。a lightweight, high-performance, powerful intranet penetration proxy server, with a powerful web management terminal.",https://github.com/ehang-io/nps,04-11-2018,2310,30-05-2024,276,Go,74,59,1191,697
C-Plus-Plus,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes.",https://github.com/TheAlgorithms/C-Plus-Plus,16-07-2016,3151,24-11-2024,98,C++,667,0,313,305
jq,Command-line JSON processor,https://github.com/jqlang/jq,18-07-2012,4610,17-02-2025,13,C,578,13,2233,1868
yew,Rust / Wasm framework for creating reliable and efficient web applications,https://github.com/yewstack/yew,16-12-2017,2633,02-03-2025,0,Rust,1743,35,1251,1130
llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.,https://github.com/llvm/llvm-project,07-12-2016,3007,02-03-2025,0,LLVM,38785,124,81019,56125
serenity,The Serenity Operating System 🐞,https://github.com/SerenityOS/serenity,02-12-2018,2282,02-03-2025,0,C++,19192,0,4211,3497
OpenVoice,Instant voice cloning by MIT and MyShell. Audio foundation model.,https://github.com/myshell-ai/OpenVoice,29-11-2023,459,07-01-2025,54,Python,17,0,278,55
